"","G69157","HV-1","LDK_9","A72_02_1FE"
"Bacteroides sp. CAG:927",0,0,0,0
"Blautia hydrogenotrophica",0,0,0,0
"Clostridium sp. chh4-2",0,0,0,0
"Murimonas intestini",0,0,0,0
"Prevotella sp. CAG:485",0,0,0,0
"Hungatella effluvii",0,0,0,0
"Melissococcus sp. OM08-11BH",0,0,0,0
"Bacteroides stercorirosoris",0,0,0,0
"Anaerofustis stercorihominis",0,0,0,0
"Latilactobacillus curvatus",0,0,0,0
"Lachnospiraceae bacterium oral taxon 096",0,0.01478,0,0
"Fusobacterium sp. CAG:439",0,0,0,0
"Fusobacterium necrogenes",0,0,0,0
"Enterococcus thailandicus",0,0,0,0
"Campylobacter hominis",0,0,0,0
"Providencia alcalifaciens",0,0,0,0
"Acidaminococcus sp. CAG:542",0,0,0,0
"Peptacetobacter hiranonis",0,0,0,0
"Bacteroides sp. CAG:633",0,0,0,0
"Bifidobacterium moukalabense",0,0,0,0
"Limosilactobacillus ingluviei",0,0,0,0
"[Clostridium] methylpentosum",0,0,0,0
"Aeromonas media",0,0,0,0
"Helicobacter equorum",0,0,0,0
"Actinomyces radicidentis",0,0,0,0
"Leptotrichia hofstadii",0,0,0,0
"Leptotrichia sp. oral taxon 215",0,0,0,0
"Gemmiger sp. An87",0,0,0,0
"Prevotella oris",0,0,0,0
"Prevotella multiformis",0,0,0,0
"Fusobacterium sp. oral taxon 370",0,0,0,0
"Streptococcus sp. NLAE-zl-C503",0,0,0,0
"Prevotella dentalis",0,0,0,0
"Selenomonas sp. oral taxon 892",0,0,0,0
"Selenomonas sp. oral taxon 920",0,0,0,0
"Prevotella veroralis",0,0,0,0
"Prevotella melaninogenica",0,0,0,0
"Flavonifractor sp. An10",0,0,0,0
"Lactonifactor longoviformis",0,0,0,0
"Prevotella pallens",0,0,0,0
"Stomatobaculum longum",0,0,0,0
"Aeromonas allosaccharophila",0,0,0,0
"Shewanella algae",0,0,0,0
"Enterococcus italicus",0,0,0,0
"Corynebacterium argentoratense",0,0,0,0
"Alistipes sp. An66",0,0,0,0
"Flavonifractor sp. An82",0,0,0,0
"Actinomyces viscosus",0,0,0,0
"Streptococcus sp. M334",0,0,0,0
"Bacteroides sp. CAG:661",0,0,0,0
"Limnochorda pilosa",0,0,0,0
"Bifidobacterium pseudolongum",0,0,0,0
"Paludisphaera borealis",0,0,0,0
"Succinatimonas hippei",0,0,0,0
"Firmicutes bacterium CAG:94",0,0,0,0
"Lachnoclostridium sp. An118",0,0,0,0
"Robinsoniella sp. RHS",0,0,0,0
"Campylobacter curvus",0,0,0,0
"Prevotella oralis",0,0,0,0
"Neisseria sp. oral taxon 014",0,0,0,0
"Bacteroidetes oral taxon 274",0,0,0,0
"Prevotella salivae",0,0,0,0
"Prevotella sp. oral taxon 306",0,0,0,0
"Alloprevotella rava",0,0,0,0
"Prevotella oulorum",0,0,0,0
"Prevotella multisaccharivorax",0,0,0,0
"Centipeda periodontii",0,0,0,0
"Mitsuokella sp. oral taxon 131",0,0,0,0
"Prevotella sp. F0091",0,0,0,0
"Leptotrichia sp. oral taxon 879",0,0,0,0
"Selenomonas sp. oral taxon 126",0,0,0,0
"Selenomonas sp. oral taxon 138",0,0,0,0
"Prevotella scopos",0,0,0,0
"Campylobacter mucosalis",0,0,0,0
"Leptotrichia sp. oral taxon 498",0,0,0,0
"Shuttleworthia satelles",0,0,0,0
"Leptotrichia sp. oral taxon 225",0,0,0,0
"Helicobacter pylori",0,0,0,0
"Slackia exigua",0,0,0,0
"Haemophilus influenzae",0,0,0,0
"Ottowia sp. oral taxon 894",0,0,0,0
"Corynebacterium matruchotii",0,0,0,0
"Agitococcus lubricus",0,0,0,0
"Franconibacter helveticus",0,0,0,0
"Leptotrichia buccalis",0,0,0,0
"Acholeplasma oculi",0,0,0,0
"Prevotella histicola",0,0,0,0
"Campylobacter rectus",0,0,0,0
"Prevotella baroniae",0,0,0,0
"Selenomonas infelix",0,0,0,0
"Oribacterium parvum",0,0,0,0
"Metamycoplasma hominis",0,0,0,0
"Eikenella halliae",0,0,0,0
"Capnocytophaga gingivalis",0,0,0,0
"Proteus hauseri",0,0,0,0
"Proteus vulgaris",0,0,0,0
"Limosilactobacillus pontis",0,0,0,0
"Citrobacter farmeri",0,0,0,0
"Acidaminococcus fermentans",0,0,0,0
"Lacticaseibacillus rhamnosus",0.01483,0,0,0
"Romboutsia lituseburensis",0,0,0,0
"Limosilactobacillus panis",0,0,0,0
"Parascardovia denticolens",0,0,0,0
"Streptococcus sp. HMSC070B10",0,0,0,0
"Haemophilus aegyptius",0,0,0,0
"Kingella oralis",0,0,0,0
"Streptococcus pneumoniae",0,0,0,0
"Streptococcus sp. HMSC034E03",0,0,0,0
"[Clostridium] hylemonae",0,0,0,0
"Oribacterium sp. oral taxon 078",0,0,0,0
"Porphyromonas somerae",0,0,0,0
"Parvimonas sp. KA00067",0,0,0,0
"Parvimonas sp. oral taxon 393",0,0,0,0
"Eggerthia catenaformis",0,0,0,0
"Parvimonas sp. oral taxon 110",0,0,0,0
"Lawsonella clevelandensis",0,0,0,0
"Gemella asaccharolytica",0,0,0,0
"Prevotella sp. oral taxon 376",0,0,0,0
"Pluralibacter gergoviae",0,0,0,0
"Enterococcus asini",0,0,0,0
"Hungatella xylanolytica",0,0,0,0
"Kosakonia radicincitans",0,0,0,0
"Kosakonia oryzae",0,0,0,0
"Cronobacter sakazakii",0,0,0,0
"Porphyromonas sp. oral taxon 278",0,0,0,0
"Bacteroides sp. CAG:443",0,0,0,0
"Oenococcus alcoholitolerans",0,0,0,0
"Streptococcus peroris",0,0,0,0
"Capnocytophaga sputigena",0,0,0,0
"Neisseria polysaccharea",0,0,0,0
"Treponema socranskii",0,0,0,0
"Treponema denticola",0,0,0,0
"Porphyromonas gingivalis",0,0,0,0
"Tannerella forsythia",0,0,0,0
"Treponema maltophilum",0,0,0,0
"Tannerella sp. oral taxon 808",0,0,0,0
"Tannerella serpentiformis",0,0,0,0
"Staphylococcus argenteus",0,0,0,0
"Actinomyces sp. oral taxon 448",0,0,0,0
"Firmicutes bacterium CAG:646",0.09345,0,0,0
"Prevotella marshii",0,0,0,0
"Prevotella sp. oral taxon 299",0,0,0,0
"Anaerocolumna aminovalerica",0,0,0,0
"Actinomyces urogenitalis",0,0,0,0
"Candidatus Gastranaerophilales bacterium",0,0,0,0
"Lentilactobacillus parafarraginis",8.60861,0,0,0
"Enterococcus sp. RIT-PI-f",0.01849,0,0,0
"Varibaculum cambriense",0,0,0,0
"Candida parapsilosis",0,0,0,0
"Clostridium sp. MSTE9",0,0,0,0
"Lentilactobacillus parabuchneri",0,0,0,0
"Finegoldia magna",0,0,0,0
"Enterococcus gilvus",0,0,0,0
"Clostridium sp. CAG:678",0,0,0,0
"Veillonella seminalis",0,0,0,0
"Lentilactobacillus kefiri",0,0,0,0
"Pediococcus pentosaceus",0,0,0,0
"Clostridium tyrobutyricum",0,0,0,0
"Pediococcus acidilactici",0,0,0,0
"Clostridiales bacterium CHKCI006",0,0,0,0
"Lactococcus piscium",0,0,0,0
"Dysgonomonas gadei",0,0,0,0
"Peptococcus niger",0,0,0,0
"Cutibacterium avidum",0,0,0,0
"Schaalia radingae",0,0,0,0
"Gleimia europaea",0,0,0,0
"Leuconostoc pseudomesenteroides",0,0,0,0
"Latilactobacillus sakei",0,0,0,0
"Clostridium sp. CAG:411",0,0,0,0
"Lactococcus raffinolactis",0,0,0,0
"Lactococcus chungangensis",0,0,0,0
"Lachnoclostridium sp. An14",0,0,0,0
"Bordetella parapertussis",0,0,0,0
"Lachnoclostridium phytofermentans",0,0,0,0
"Dermabacter hominis",0,0,0,0
"Bordetella pertussis",0,0,0,0
"Clostridium cadaveris",0,0,0,0
"Eubacterium callanderi",0,0,0,0
"Lactiplantibacillus paraplantarum",0,0,0,0
"Enterococcus sp. 3H8_DIV0648",0,0,0,0
"Bifidobacterium pullorum",0,0,0,0
"Propionimicrobium lymphophilum",0,0,0,0
"[Butyribacterium] methylotrophicum",0,0,0,0
"Selenomonas artemidis",0,0,0,0
"Bacteroides graminisolvens",0,0,0,0
"Enterococcus malodoratus",0,0,0,0
"Bavariicoccus seileri",0,0,0,0
"Lactobacillus kefiranofaciens",0,0,0,0
"Staphylococcus epidermidis",0,0,0,0
"Pseudomonas fragi",0,0,0,0
"Clostridium sp. D5",0,0,0,0
"Lachnoclostridium sp. An181",0,0,0,0
"Paracoccus salipaludis",0,0,0,0
"Bacteroides sp. An322",0,0,0,0
"Atopobium minutum",0,0,0,0
"Propionibacterium freudenreichii",0,0,0,0
"Enterococcus dispar",0,0,0,0
"Lentilactobacillus otakiensis",0,0,0,0
"Yersinia enterocolitica",0,0,0,0
"Bifidobacterium scardovii",0,0,0,0
"Buttiauxella agrestis",0,0,0,0
"Dorea sp. D27",0,0,0,0
"Kluyvera intermedia",0,0,0,0
"Lacrimispora celerecrescens",0,0,0,0
"Leuconostoc citreum",0,0,0,0
"Lactobacillus kalixensis",0,0,0,0
"Streptococcus salivarius CAG:79",0,0,0,0
"Salmonella enterica",0,0,0,0
"Acinetobacter nosocomialis",0,0,0,0
"Acinetobacter ursingii",0,0,0,0
"Stenotrophomonas maltophilia",0,0,0,0
"Streptococcus agalactiae",0,0,0,0
"Clostridium bornimense",0,0,0,0
"Negativicoccus succinicivorans",0,0,0,0
"Candida albicans",0,0,0,0
"Prevotella amnii",0,0,0,0
"Megasphaera vaginalis",0,0,0,0
"Staphylococcus haemolyticus",0,0,0,0
"Lentilactobacillus rapi",0,0,0,0
"Enterococcus devriesei",0,0,0,0
"Pseudoramibacter alactolyticus",0,0,0,0
"Rothia kristinae",0,0,0,0
"Clostridium sporogenes",0,0,0,0
"Gordonia otitidis",0,0,0,0
"Anaerococcus hydrogenalis",0,0,0,0
"Peptoniphilus sp. HMSC062D09",0,0,0,0
"Escherichia sp. ESNIH1",0,0,0,0
"Anaerococcus prevotii",0,0,0,0
"Lentilactobacillus sunkii",0,0,0,0
"Companilactobacillus versmoldensis",0,0,0,0
"Actinotignum schaalii",0,0,0,0
"[Kluyvera] intestini",0,0,0,0
"Cryptosporidium meleagridis",0,0,0,0
"Loigolactobacillus coryniformis",0,0,0,0
"Desulfovibrio sp. An276",0,0,0,0
"Methanobrevibacter woesei",0,0,0,0
"Macrococcus caseolyticus",0,0,0,0
"Acinetobacter johnsonii",0,0,0,0
"Superficieibacter electus",0,0,0,0
"Streptococcus parauberis",0,0,0,0
"Eubacteriaceae bacterium CHKCI005",0,0,0,0
"Muribaculum intestinale",0,0,0,0
"Weissella jogaejeotgali",0,0,0,0
"Weissella thailandensis",0,0,0,0
"Anaerosporobacter mobilis",0,0,0,0
"Dysgonomonas sp. 37-18",0,0,0,0
"Corynebacterium provencense",0,0,0,0
"Kosakonia sacchari",0,0,0,0
"Prevotella colorans",0,0,0,0
"Serratia liquefaciens",0,0,0,0
"Acinetobacter junii",0,0,0,0
"Acinetobacter guillouiae",0,0,0,0
"Sphingobium yanoikuyae",0,0,0,0
"Brevundimonas diminuta",0,0,0,0
"Comamonas sp. JNW",0,0,0,0
"Sphingobacterium multivorum",0,0,0,0
"Agrobacterium tumefaciens",0,0,0,0
"Actinobaculum massiliense",0,0,0,0
"Staphylococcus lugdunensis",0,0,0,0
"Prevotella micans",0,0,0,0
"Acinetobacter pittii",0,0,0,0
"Pseudomonas helleri",0,0,0,0
"Phytobacter palmae",0,0,0,0
"Phytobacter ursingii",0,0,0,0
"Streptococcus sp. SK643",0,0,0,0
"Prevotella bergensis",0,0,0,0
"Campylobacter ureolyticus",0,0,0,0
"Terrisporobacter othiniensis",0,0,0,0
"Weissella viridescens",0,0,0,0
"Actinotignum timonense",0,0,0,0
"Carnobacterium maltaromaticum",0,0,0,0
"Prevotella loescheii",0,0,0,0
"Lactobacillus gallinarum",0,0,0,0
"Cellulosilyticum lentocellum",0,0,0,0
"Anaeromassilibacillus sp. An172",0,0,0,0
"Dialister micraerophilus",0,0,0,0
"Lentilactobacillus diolivorans",0,0,0,0
"Clostridium botulinum",0,0,0,0
"Haemophilus sp. C1",0,0,0,0
"Paucilactobacillus vaccinostercus",0,0,0,0
"Staphylococcus saprophyticus",0,0,0,0
